epoch,loss,acc
1,2.6616346533336337,0.3019593253968254
2,1.5641311671998765,0.534636966765873
3,1.326818895718408,0.5869063120039683
4,1.2168821403904566,0.6156451512896826
5,1.1425293272449857,0.6363002232142857
6,1.0896825889746349,0.6523204985119048
7,1.0436233509154547,0.6656978546626984
8,1.0048445325995248,0.6756494915674603
9,0.9733257104480078,0.6863064236111112
10,0.9445856454826537,0.6946072048611112
11,0.9144399317484053,0.7041945684523809
12,0.8896979736903358,0.7104414682539683
13,0.8663726704461234,0.7182772197420635
14,0.8411225596117595,0.7255084325396826
15,0.8242072723214589,0.7304765004960317
16,0.8048351899025932,0.737730964781746
17,0.7833530410887704,0.7438151041666666
18,0.7657757481885334,0.7498682415674603
19,0.7494124888427673,0.7536659846230159
20,0.7339955237176683,0.7592308407738095
21,0.715744211560204,0.7657955109126984
22,0.7032937412224118,0.7696630084325397
23,0.6900445062016684,0.7740032862103174
24,0.6773801181051466,0.7762664310515873
25,0.6647714660281226,0.7799091641865079
26,0.6497777894375816,0.7863110739087301
27,0.6387548697373223,0.7892717633928571
28,0.6278924563574413,0.7927904885912699
29,0.617742836948425,0.7955574156746031
30,0.604705378176674,0.800354972718254
31,0.5962116022904714,0.8033621651785714
32,0.5842693788664681,0.8062453497023809
33,0.5738877398627145,0.8096168154761905
34,0.5689017086748093,0.8112754216269841
35,0.5624710621814879,0.8128100198412699
36,0.5551531674369933,0.8162357390873016
37,0.5446580194291615,0.8197467137896826
38,0.537154115381695,0.8205062624007936
39,0.5278943497983236,0.8243660094246031
40,0.5242021050718095,0.8256370907738095
41,0.5203447694343234,0.8272801959325397
42,0.5121759353649049,0.8290473090277778
43,0.5070784891408587,0.8310701884920635
44,0.5020170076971963,0.8313492063492064
45,0.4948205884013857,0.835511222718254
46,0.48896038177467527,0.8363405257936508
47,0.4829119732455602,0.8383944072420635
48,0.47682443426715004,0.8396654885912699
49,0.4778757918448675,0.8400762648809523
50,0.4739195576735905,0.8419208829365079
51,0.46766073836220634,0.8424711681547619
52,0.4631586415427072,0.8453078497023809
53,0.45625187030860354,0.8473307291666666
54,0.4519560949669944,0.8485398065476191
55,0.4487626486354404,0.849671378968254
56,0.4468907505746872,0.8488885788690477
57,0.4412076615151905,0.8511982266865079
58,0.4335221345462496,0.8547867063492064
59,0.43382111641149673,0.8553524925595238
60,0.43160472431826213,0.8549262152777778
61,0.42950612282942213,0.8547789558531746
62,0.42744801891228507,0.8574683779761905
63,0.42639746694337755,0.8571118551587301
64,0.42028901051907314,0.8582744295634921
65,0.4205843631237272,0.859801277281746
66,0.4165559978712173,0.8596927703373016
67,0.41492835160285707,0.8600570436507936
68,0.4102299142451513,0.8624131944444444
69,0.40696403478819226,0.8629944816468254
70,0.4054974251323276,0.8624984499007936
71,0.405121458664773,0.8640020461309523
72,0.4021332637658195,0.8650173611111112
73,0.4022946617906056,0.8640407986111112
74,0.3943783815891024,0.8671487475198413
75,0.3943800533574725,0.8671022445436508
76,0.39266093501022886,0.8677997891865079
77,0.3939121341894543,0.8674355158730159
78,0.39179483694689615,0.8680710565476191
79,0.3878644539250268,0.8689081101190477
80,0.38732998853638057,0.8691251240079365
81,0.3846356201739538,0.8698459201388888
82,0.382321345664206,0.8710084945436508
83,0.37635785601441824,0.8728376116071429
84,0.37699127528402543,0.8729306175595238
85,0.37368395427862805,0.8741474454365079
86,0.3775686574360681,0.8720703125
87,0.3748278958456857,0.873473152281746
88,0.3714197992332398,0.8737289186507936
89,0.3732528267871766,0.8745349702380952
90,0.37261727759762414,0.8743024553571429
91,0.36762267138276783,0.8762788318452381
92,0.3715502056810591,0.8743567088293651
93,0.3673117146605537,0.8754340277777778
94,0.3669959339830611,0.8764260912698413
95,0.363732037799699,0.8773096478174603
96,0.364534288881317,0.8760153149801587
97,0.3615316937840174,0.8779451884920635
98,0.36007925253065803,0.8779296875
99,0.35877552652169786,0.8801463293650794
100,0.3573731548256344,0.8801463293650794
